#Global Ocean Temperature Anomalies, January-December
#Units: Degrees Celsius
#Base Period: 1901-2000
Year,Value
1880,-0.0438
1881,0.0192
1882,0.0105
1883,-0.0319
1884,-0.1098
1885,-0.1508
1886,-0.1401
1887,-0.2053
1888,-0.0696
1889,-0.0445
1890,-0.2754
1891,-0.1493
1892,-0.2371
1893,-0.2368
1894,-0.2555
1895,-0.1602
1896,-0.0299
1897,-0.0560
1898,-0.2178
1899,-0.1049
1900,-0.0520
1901,-0.1633
1902,-0.2217
1903,-0.3248
1904,-0.4081
1905,-0.2484
1906,-0.2270
1907,-0.2943
1908,-0.4296
1909,-0.4455
1910,-0.4027
1911,-0.4348
1912,-0.2690
1913,-0.3154
1914,-0.1691
1915,-0.0765
1916,-0.2633
1917,-0.2269
1918,-0.1341
1919,-0.1521
1920,-0.1819
1921,-0.1835
1922,-0.2322
1923,-0.2221
1924,-0.2526
1925,-0.1687
1926,-0.0906
1927,-0.1517
1928,-0.2042
1929,-0.2549
1930,-0.1067
1931,-0.0895
1932,-0.1618
1933,-0.2143
1934,-0.1401
1935,-0.1406
1936,-0.1150
1937,-0.0129
1938,-0.1069
1939,-0.0560
1940,0.1184
1941,0.2440
1942,0.1955
1943,0.1946
1944,0.3404
1945,0.3025
1946,0.0032
1947,-0.0928
1948,-0.0876
1949,-0.0580
1950,-0.0913
1951,0.0106
1952,0.0701
1953,0.0673
1954,-0.0967
1955,-0.1362
1956,-0.1107
1957,0.0921
1958,0.1075
1959,0.0639
1960,0.0471
1961,0.0691
1962,0.0651
1963,0.0715
1964,-0.1125
1965,-0.0558
1966,-0.0030
1967,-0.0177
1968,0.0039
1969,0.1673
1970,0.0446
1971,-0.0934
1972,0.1020
1973,0.1141
1974,-0.0202
1975,-0.0435
1976,-0.0113
1977,0.1942
1978,0.1243
1979,0.2548
1980,0.2591
1981,0.2283
1982,0.2143
1983,0.2848
1984,0.1830
1985,0.1550
1986,0.2087
1987,0.3527
1988,0.3074
1989,0.2601
1990,0.3690
1991,0.3550
1992,0.2535
1993,0.2579
1994,0.2961
1995,0.3393
1996,0.3084
1997,0.4543
1998,0.5121
1999,0.3108
2000,0.3456
2001,0.4411
2002,0.4762
2003,0.5082
2004,0.4910
2005,0.5123
2006,0.5007
2007,0.4304
2008,0.4206
2009,0.5450
2010,0.5575
2011,0.4561
2012,0.5122
2013,0.5437
2014,0.6371
2015,0.7389
2016,0.7548
